outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
"B2i_Lycée_2013 Lyc_1.1 :: 1.1) Construire des identités adaptées aux différents (...)";Lyc_1.1;"1.1) Construire des identités adaptées aux différents contextes (public, privé, professionnel, personnel).";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_1.2 :: 1.2)  Paramétrer ses applications et les services en ligne (...)";Lyc_1.2;"1.2)  Paramétrer ses applications et les services en ligne utilisés de façon à gérer et contrôler ses traces ( mots de passe, gestion de l’historique, données de formulaire, etc.).";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_1.3 :: 1.3) Changer les règles de confidentialité et les (...)";Lyc_1.3;"1.3) Changer les règles de confidentialité et les paramètres des services utilisés sur le Web , en vérifier régulièrement les modifications.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_1.4 :: 1.4) S’inscrire et se désinscrire d’un service (...)";Lyc_1.4;"1.4) S’inscrire et se désinscrire d’un service numérique lettre d’information, réseau social, flux, etc.).";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_1.5 :: 1.5) Identifier les éléments de stratégie commerciale (...)";Lyc_1.5;"1.5) Identifier les éléments de stratégie commerciale des services et matériels utilisés.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_1.6 :: 1.6) Identifier les enjeux associés au codage et à la (...)";Lyc_1.6;"1.6) Identifier les enjeux associés au codage et à la programmation (diversité des langages de programmation, open source) , identifier leur impact sur les usages.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_1.7 :: 1.7) Repérer, lors des recherches et de la navigation les (...)";Lyc_1.7;"1.7) Repérer, lors des recherches et de la navigation les traces personnelles issues de la collecte (formulaires , cookies).";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_2.1 :: 2.1) Comprendre et respecter les grands principes (...)";Lyc_2.1;"2.1) Comprendre et respecter les grands principes résultant de la loi informatique et libertés (droit à l’information, d’accès, de rectification des données, de suppression, d’opposition , principes de finalité, de pertinence et de proportionnalité).";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_2.2 :: 2.2) Comprendre et appliquer les conditions d’utilisation (...)";Lyc_2.2;"2.2) Comprendre et appliquer les conditions d’utilisation des services en ligne (autoriser ou pas l’utilisation de  la géolocalisation, du partage de données et d’application, etc.).";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_2.3 :: 2.3) Porter un avis critique sur une situation liée à (...)";Lyc_2.3;"2.3) Porter un avis critique sur une situation liée à l’usage du numérique dans le respect des règles (modalités de diffusion des informations : buzz, hoax, etc.)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_2.4 :: 2.4) Être responsable de toutes ses publications y compris (...)";Lyc_2.4;"2.4) Être responsable de toutes ses publications y compris lors de l’utilisation d’un pseudonyme.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_2.5 :: 2.5) Utiliser les ressources du web en respectant le droit (...)";Lyc_2.5;"2.5) Utiliser les ressources du web en respectant le droit d’auteur et la propriété intellectuelle.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_3.1 :: 3.1) Maîtriser les fonctions de base des suites (...)";Lyc_3.1;"3.1) Maîtriser les fonctions de base des suites bureautiques.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_3.2 :: 3.2) Distinguer une simulation ou une modélisation de la (...)";Lyc_3.2;"3.2) Distinguer une simulation ou une modélisation de la réalité, lors du traitement des informations , préciser le contexte associé aux résultats obtenus et ses conséquences sur leur interprétation. Identifier la nature des modèles employés et leurs limites de validité.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_3.3 :: 3.3) Structurer un document (listes, styles, etc.). Créer (...)";Lyc_3.3;"3.3) Structurer un document (listes, styles, etc.). Créer et réutiliser un modèle, une feuille de style. Insérer automatiquement des informations dans un document, un classeur (notes de bas de page, date de création, numéro de page, etc.).";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_3.4 :: 3.4) Créer et modifier un document numérique composite (...)";Lyc_3.4;"3.4) Créer et modifier un document numérique composite transportable et publiable. Choisir les formats d’importation adaptés au besoin.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_3.5 :: 3.5) Utiliser des outils de suivi des modifications.";Lyc_3.5;"3.5) Utiliser des outils de suivi des modifications.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_3.6 :: 3.6) Modifier les métadonnées attachées à son document (...)";Lyc_3.6;"3.6) Modifier les métadonnées attachées à son document (titre, auteur, date, etc.).";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_3.7 :: 3.7) Choisir des types de représentation adaptés à (...)";Lyc_3.7;"3.7) Choisir des types de représentation adaptés à l’information à traiter.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_4.1 :: 4.1) Structurer un travail de recherche en définissant son (...)";Lyc_4.1;"4.1) Structurer un travail de recherche en définissant son besoin, les outils à mobiliser, la démarche à mettre en œuvre.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_4.2 :: 4.2) Construire une veille numérique en utilisant des (...)";Lyc_4.2;"4.2) Construire une veille numérique en utilisant des outils de veille adaptés (alertes, fils RSS, abonnements, podcast, etc.).";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_4.3 :: 4.3) Mettre en œuvre, sur un moteur de recherche, les (...)";Lyc_4.3;"4.3) Mettre en œuvre, sur un moteur de recherche, les filtres nécessaires pour que la requête soit pertinente.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_4.4 :: 4.4) Connaître les critères de tri du moteur de recherche (...)";Lyc_4.4;"4.4) Connaître les critères de tri du moteur de recherche utilisé.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_4.5 :: 4.5) Chercher et identifier l’origine de la publication (...)";Lyc_4.5;"4.5) Chercher et identifier l’origine de la publication en utilisant au besoin le code source, pour exploiter un document.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_4.6 :: 4.6) Élaborer une bibliographie incluant des documents (...)";Lyc_4.6;"4.6) Élaborer une bibliographie incluant des documents d’origine numérique.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_5.1 :: 5.1) Connaître et prendre en compte les critères (...)";Lyc_5.1;"5.1) Connaître et prendre en compte les critères d’accessibilité.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_5.2 :: 5.2) Choisir des types de présentation adaptés au mode de (...)";Lyc_5.2;"5.2) Choisir des types de présentation adaptés au mode de communication.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_5.3 :: 5.3) Publier un document en s’appuyant sur des ressources (...)";Lyc_5.3;"5.3) Publier un document en s’appuyant sur des ressources dont l’élève n’est pas l’auteur dans le respect des règles (droit de citation, respect des licences, etc.).";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_5.4 :: 5.4) Participer à une production numérique collective (...)";Lyc_5.4;"5.4) Participer à une production numérique collective (site collaboratif, wiki, etc.) dans un esprit de mutualisation, de recherche , choisir des stratégies collaboratives adaptées aux besoins.";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_5.5 :: 5.5) S’exprimer via les réseaux en identifiant la (...)";Lyc_5.5;"5.5) S’exprimer via les réseaux en identifiant la qualité de l’espace de publication (publique, privée, professionnelle, personnelle).";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"B2i_Lycée_2013 Lyc_5.6 :: 5.6) Participer à un débat en ligne dans le respect des (...)";Lyc_5.6;"5.6) Participer à un débat en ligne dans le respect des interlocuteurs (Nétiquette)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
