outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
C2i1 D1.1.1 :: Organiser un espace de travail complexe;D1.1.1;Organiser un espace de travail complexe;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D1.2.1 :: Sécuriser son espace de travail local et distant;D1.2.1;Sécuriser son espace de travail local et distant;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D1.3.1 :: Tenir compte des enjeux de l’interopérabilité;D1.3.1;Tenir compte des enjeux de l’interopérabilité;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D1.4.1 :: Pérenniser ses données;D1.4.1;Pérenniser ses données;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D2.1.1 :: Maîtriser son identité numérique privée et institutionnelle et professionnelle;D2.1.1;Maîtriser son identité numérique privée et institutionnelle et professionnelle;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D2.2.1 :: Veiller à la protection de la vie privée et des données à caractère personnel;D2.2.1;Veiller à la protection de la vie privée et des données à caractère personnel;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D2.3.1 :: Être responsable face aux réglementations concernant l’utilisation de ressources numériques;D2.3.1;Être responsable face aux réglementations concernant l’utilisation de ressources numériques;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D2.4.1 :: Adopter les règles en vigueur et se conformer au bon usage du numérique;D2.4.1;Adopter les règles en vigueur et se conformer au bon usage du numérique;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D3.1.1 :: Structurer et mettre en forme un document;D3.1.1;Structurer et mettre en forme un document;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D3.2.1 :: Insérer des informations générées automatiquement;D3.2.1;Insérer des informations générées automatiquement;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D3.3.1 :: Réaliser un document composite;D3.3.1;Réaliser un document composite;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D3.4.1 :: Exploiter des données dans des feuilles de calcul;D3.4.1;Exploiter des données dans des feuilles de calcul;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D3.5.1 :: Préparer ou adapter un document pour le diffuser;D3.5.1;Préparer ou adapter un document pour le diffuser;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D4.1.1 :: Rechercher de l’information avec une démarche adaptée;D4.1.1;Rechercher de l’information avec une démarche adaptée;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D4.2.1 :: Evaluer les résultats d’une recherche;D4.2.1;Evaluer les résultats d’une recherche;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D4.3.1 :: Récupérer et référencer une ressource numérique en ligne;D4.3.1;Récupérer et référencer une ressource numérique en ligne;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D4.4.1 :: Organiser une veille informationnelle;D4.4.1;Organiser une veille informationnelle;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D5.1.1 :: Communiquer avec un ou plusieurs interlocuteurs;D5.1.1;Communiquer avec un ou plusieurs interlocuteurs;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D5.2.1 :: Participer à l’activité en ligne d’un groupe;D5.2.1;Participer à l’activité en ligne d’un groupe;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
C2i1 D5.3.1 :: Élaborer une production dans un contexte collaboratif;D5.3.1;Élaborer une production dans un contexte collaboratif;Item référentiel;Non pertinent,Non validé,Validé;Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel.
