#Moodle Referentiel CSV Export;latin1;Admin Utilisateur
#code_referentiel;nom_referentiel;description_referentiel;url_referentiel;date_creation;nb_domaines;seuil_certificat;liste_codes_competences;liste_empreintes;logo_referentiel;minima_certificat
C2i2e-2011;Référentiel C2i2e - Version 2011;"Certificat Informatique et Internet niveau 2 ''Enseignant'' version 2011";http://www.enseignementsup-recherche.gouv.fr/pid20536/rubrique-bo.html?cid_bo=54844;Y:2012m:03d:29;2;0;A.1-1/A.1-2/A.1-3/A.1-4/A.1-5/A.2-1/A.2-2/A.2-3/A.3-1/A.3-2/A.3-3/A.3-4/B.1-1/B.1-2/B.1-3/B.2-1/B.2-2/B.2-3/B.2-4/B.2-5/B.3-1/B.3-2/B.3-3/B.3-4/B.3-5/B.4-1/B.4-2/B.4-3/;1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/;23
#protocole_seuil;protocole_minima;l_domaines_oblig;l_seuils_domaines;l_minimas_domaines;l_competences_oblig;l_seuils_competences;l_minimas_competences;l_items_oblig;timemodified;actif;commentaire
0;23;"A:0/B:0/";"A:0.0/B:0.0/";"A:0/B:0/";"A.1:0/A.2:0/A.3:0/B.1:0/B.2:0/B.3:0/B.4:0/";"A.1:0.0/A.2:0.0/A.3:0.0/B.1:0.0/B.2:0.0/B.3:0.0/B.4:0.0/";"A.1:3/A.2:1/A.3:2/B.1:1/B.2:3/B.3:3/B.4:1/";"A.1-1:0/A.1-2:0/A.1-3:0/A.1-4:0/A.1-5:0/A.2-1:0/A.2-2:0/A.2-3:0/A.3-1:0/A.3-2:0/A.3-3:0/A.3-4:0/B.1-1:0/B.1-2:0/B.1-3:0/B.2-1:0/B.2-2:0/B.2-3:0/B.2-4:0/B.2-5:0/B.3-1:0/B.3-2:0/B.3-3:0/B.3-4:0/B.3-5:0/B.4-1:0/B.4-2:0/B.4-3:0/";1333264033;1;"Pas moins de 23 items validés en tout et pas plus de 2 items non validés par compétence."
#code_domaine;description_domaine;num_domaine;nb_competences;type_domaine;seuil_domaine;minima_domaine
A;"Compétences générales liées à l'exercice du métier.";1;3;0;0.0;0
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
A.1;"Maîtrise de l'environnement numérique professionnel.";1;5;0;0.0;3
#code_item;description_item;type_item;poids_item;num_item;empreinte_item
A.1-1;"Identifier les personnes ressources Tic et leurs rôles respectifs au niveau local, régional et national.";0;1;1;1
A.1-2;"S'approprier différentes composantes informatiques (lieux, outils, ...) de son environnement professionnel.";0;1;2;1
A.1-3;"Choisir et utiliser les ressources et services disponibles dans un espace numérique de travail (ENT).";0;1;3;1
A.1-4;"Choisir et utiliser les outils les plus adaptés pour communiquer avec les acteurs et usagers du système éducatif.";0;1;4;1
A.1-5;"Se constituer et organiser des ressources en utilisant des sources professionnelles.";0;1;5;1
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
A.2;"Développement des compétences pour la formation tout au long de la vie";2;3;0;0.0;1
#code_item;description_item;type_item;poids_item;num_item;empreinte_item
A.2-1;"Utiliser des ressources en ligne ou des dispositifs de formation à distance pour sa formation.";0;1;1;1
A.2-2;"Se référer à des travaux de recherche liant savoirs, apprentissages et Tice.";0;1;2;1
A.2-3;"Pratiquer une veille pédagogique, institutionnelle, scientifique à travers des réseaux d'échanges concernant son domaine, sa discipline, son niveau d'enseignement.";0;1;3;1
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
A.3;"Responsabilité professionnelle dans le cadre du système éducatif";3;4;0;0.0;2
#code_item;description_item;type_item;poids_item;num_item;empreinte_item
A.3-1;"S'exprimer et communiquer en s'adaptant aux différents destinataires et espaces de diffusion (institutionnel, public, privé, interne, externe, ...).";0;1;1;1
A.3-2;"Prendre en compte les enjeux et respecter les règles concernant notamment : la recherche et les critères de contrôle de validité des informations , la sécurité informatique , le filtrage internet.";0;1;2;1
A.3-3;"Prendre en compte les lois et les exigences d'une utilisation professionnelle des Tice concernant notamment : la protection des libertés individuelles et publiques , la sécurité des personnes , la protection des mineurs , la confidentialité des données , la propriété intellectuelle , le droit à l'image.";0;1;3;1
A.3-4;"Respecter et faire respecter la (les) charte(s) d'usage de l'établissement, notamment dans une perspective éducative d'apprentissage de la citoyenneté.";0;1;4;1
#code_domaine;description_domaine;num_domaine;nb_competences;type_domaine;seuil_domaine;minima_domaine
B;"Compétences nécessaires à l'intégration des TICE dans sa pratique";2;4;0;0.0;0
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
B.1;"Travail en réseau avec l'utilisation des outils de travail collaboratif";1;3;0;0.0;1
#code_item;description_item;type_item;poids_item;num_item;empreinte_item
B.1-1;"Rechercher, produire, indexer, partager et mutualiser des documents, des informations, des ressources dans un environnement numérique.";0;1;1;1
B.1-2;"Contribuer à une production ou à un projet collectif au sein d'équipes disciplinaires, interdisciplinaires, transversales ou éducatives.";0;1;2;1
B.1-3;"Organiser, coordonner et animer un travail en réseau au sein d'équipes disciplinaires, interdisciplinaires, transversales ou éducatives";0;1;3;1
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
B.2;"Conception et préparation de contenus d'enseignement et de situations d'apprentissage";2;5;0;0.0;3
#code_item;description_item;type_item;poids_item;num_item;empreinte_item
B.2-1;"Identifier les situations d'apprentissage propices à l'utilisation des Tice.";0;1;1;1
B.2-2;"Concevoir des situations d'apprentissage et d'évaluation mettant en ?uvre des logiciels généraux ou spécifiques à la discipline, au domaine et niveau d'enseignement.";0;1;2;1
B.2-3;"Concevoir des situations d'apprentissage et d'évaluation mettant en ?uvre des démarches de recherche d'information.";0;1;3;1
B.2-4;"Préparer des ressources adaptées à la diversité des publics et des situations pédagogiques : en opérant des choix entre les supports et médias utilisables , en respectant les règles de la communication.";0;1;4;1
B.2-5;"Concevoir des situations ou dispositifs de formation introduisant de la mise à distance.";0;1;5;1
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
B.3;"Mise en oeuvre pédagogique en présentiel et à distance";3;5;0;0.0;3
#code_item;description_item;type_item;poids_item;num_item;empreinte_item
B.3-1;"Conduire des situations d'apprentissage diversifiées en tirant parti du potentiel des Tic (travail collectif, individualisé, en petits groupes).";0;1;1;1
B.3-2;"Gérer l'alternance entre les activités utilisant les Tice et celles qui n'y ont pas recours.";0;1;2;1
B.3-3;"Gérer des temps et des modalités de travail différenciés, en présentiel et/ou à distance pour prendre en compte la diversité des élèves, des étudiants, des stagiaires.";0;1;3;1
B.3-4;"Utiliser les Tice pour accompagner, tutorer des élèves, des étudiants, des stagiaires dans la réalisation de leurs travaux, leurs projets, leurs recherches.";0;1;4;1
B.3-5;"Anticiper un incident technique ou savoir y faire face.";0;1;5;1
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
B.4;"Compétences d'évaluation";4;4;0;0.0;1
#code_item;description_item;type_item;poids_item;num_item;empreinte_item
B.4-1;"Identifier les compétences des référentiels Tic (B2i®, C2i®) mises en ?uvre dans une situation de formation proposée aux élèves, aux étudiants, aux stagiaires.";0;1;1;1
B.4-2;"S'intégrer dans une démarche collective d'évaluation des compétences Tic (B2i ® ou C2i ®).";0;1;2;1
B.4-3;"Utiliser des outils d'évaluation et de suivi pédagogique.";0;1;3;1

