#Moodle Referentiel CSV Export;latin1;Admin Utilisateur
#code_referentiel;nom_referentiel;description_referentiel;url_referentiel;date_creation;nb_domaines;seuil_certificat;liste_codes_competences;liste_empreintes;logo_referentiel;minima_certificat
C2i1;C2i1 - 2012;"Référentiel national du certificat informatique et internet de l'enseignement supérieur de niveau 1. Le référentiel national du C2i® niveau 1 comprend 20 compétences réparties dans 5 domaines.";;Y:2011m:10d:20;5;0;D1.1.1/D1.2.1/D1.3.1/D1.4.1/D2.1.1/D2.2.1/D2.3.1/D2.4.1/D3.1.1/D3.2.1/D3.3.1/D3.4.1/D3.5.1/D4.1.1/D4.2.1/D4.3.1/D4.4.1/D5.1.1/D5.2.1/D5.3.1/;1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/;0
#protocole_seuil;protocole_minima;l_domaines_oblig;l_seuils_domaines;l_minimas_domaines;l_competences_oblig;l_seuils_competences;l_minimas_competences;l_items_oblig;timemodified;actif;commentaire
0;0;"D1:0/D2:0/D3:0/D4:0/D5:0/";"D1:0.0/D2:0.0/D3:0.0/D4:0.0/D5:0.0/";"D1:0/D2:0/D3:0/D4:0/D5:0/";"D1.1:0/D1.2:0/D1.3:0/D1.4:0/D2.1:0/D2.2:0/D2.3:0/D2.4:0/D3.1:0/D3.2:0/D3.3:0/D3.4:0/D3.5:0/D4.1:0/D4.2:0/D4.3:0/D4.4:0/D5.1:0/D5.2:0/D5.3:0/";"D1.1:0.0/D1.2:0.0/D1.3:0.0/D1.4:0.0/D2.1:0.0/D2.2:0.0/D2.3:0.0/D2.4:0.0/D3.1:0.0/D3.2:0.0/D3.3:0.0/D3.4:0.0/D3.5:0.0/D4.1:0.0/D4.2:0.0/D4.3:0.0/D4.4:0.0/D5.1:0.0/D5.2:0.0/D5.3:0.0/";"D1.1:0/D1.2:0/D1.3:0/D1.4:0/D2.1:0/D2.2:0/D2.3:0/D2.4:0/D3.1:0/D3.2:0/D3.3:0/D3.4:0/D3.5:0/D4.1:0/D4.2:0/D4.3:0/D4.4:0/D5.1:0/D5.2:0/D5.3:0/";"D1.1.1:0/D1.2.1:0/D1.3.1:0/D1.4.1:0/D2.1.1:0/D2.2.1:0/D2.3.1:0/D2.4.1:0/D3.1.1:0/D3.2.1:0/D3.3.1:0/D3.4.1:0/D3.5.1:0/D4.1.1:0/D4.2.1:0/D4.3.1:0/D4.4.1:0/D5.1.1:0/D5.2.1:0/D5.3.1:0/";0;0;""
#code_domaine;description_domaine;num_domaine;nb_competences;type_domaine;seuil_domaine;minima_domaine
D1;"Travailler dans un environnement numérique évolutif";1;4;0;0.0;0
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
D1.1;"Organiser un espace de travail complexe";1;1;0;0.0;0
#code_item;description_item;type_item;poids_item;num_item;empreinte_item
D1.1.1;"Organiser un espace de travail complexe";;1;1;1
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
D1.2;"Sécuriser son espace de travail local et distant";2;1;0;0.0;0
#code_item;description_item;type_item;poids_item;num_item;empreinte_item
D1.2.1;"Sécuriser son espace de travail local et distant";;1;1;1
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
D1.3;"Tenir compte des enjeux de l'interopérabilité";3;1;0;0.0;0
#code_item;description_item;type_item;poids_item;num_item;empreinte_item
D1.3.1;"Tenir compte des enjeux de l'interopérabilité";;1;1;1
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
D1.4;"Pérenniser ses données";4;1;0;0.0;0
#code_item;description_item;type_item;poids_item;num_item;empreinte_item
D1.4.1;"Pérenniser ses données";;1;1;1
#code_domaine;description_domaine;num_domaine;nb_competences;type_domaine;seuil_domaine;minima_domaine
D2;"Être responsable à l'ère du numérique";2;4;0;0.0;0
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
D2.1;"Maîtriser son identité numérique privée, institutionnelle et professionnelle";1;1;0;0.0;0
#code_item;description_item;type_item;poids_item;num_item;empreinte_item
D2.1.1;"Maîtriser son identité numérique privée et institutionnelle et professionnelle";;1;1;1
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
D2.2;"Veiller à la protection de la vie privée et des données à caractère personnel";2;1;0;0.0;0
#code_item;description_item;type_item;poids_item;num_item;empreinte_item
D2.2.1;"Veiller à la protection de la vie privée et des données à caractère personnel";;1;1;1
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
D2.3;"Être responsable face aux réglementations concernant l'utilisation de ressources numériques";3;1;0;0.0;0
#code_item;description_item;type_item;poids_item;num_item;empreinte_item
D2.3.1;"Être responsable face aux réglementations concernant l'utilisation de ressources numériques";;1;1;1
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
D2.4;"Adopter les règles en vigueur et se conformer au bon usage du numérique";4;1;0;0.0;0
#code_item;description_item;type_item;poids_item;num_item;empreinte_item
D2.4.1;"Adopter les règles en vigueur et se conformer au bon usage du numérique";;1;1;1
#code_domaine;description_domaine;num_domaine;nb_competences;type_domaine;seuil_domaine;minima_domaine
D3;"Produire, traiter, exploiter et diffuser des documents numériques";3;5;0;0.0;0
#code_competence;description_competence;num_competence;nb_item_competences;type_competence;seuil_competence;minima_competence
